,Name,Year,ID,Rating,Complexity,Overall Rank,Plays Last Month,Owns,Wants,Wishlists,Abstract Rank,Customizable Rank,Thematic Rank,Family Rank,Children Rank,Party Rank,Strategy Rank,War Rank
58,Tzolk'in: The Mayan Calendar,2012,126163,7.70583,3.6687,59,695,45894,1398,9066,,,,,,,53.0,
59,Power Grid,2004,2651,7.7039,3.2543,60,500,79509,1375,11547,,,,,,,56.0,
60,Cthulhu: Death May Die,2019,253344,7.69976,2.46,61,877,20926,670,6079,,,19.0,,,,,
61,Obsession,2018,231733,7.68946,3.1111,62,2137,16866,1238,7341,,,20.0,,,,45.0,
62,The Quacks of Quedlinburg,2018,244521,7.68749,1.9483,63,2467,74871,1302,11343,,,,7.0,,,,
63,Clans of Caledonia,2017,216132,7.68486,3.4548,64,508,21678,1128,7055,,,,,,,51.0,
64,Grand Austria Hotel,2015,182874,7.68346,3.2113,65,1339,25914,1241,6183,,,,,,,52.0,
65,Le Havre,2008,35677,7.68312,3.7201,66,332,36576,1747,9732,,,,,,,54.0,
66,Paladins of the West Kingdom,2019,266810,7.68022,3.7239,67,552,28371,699,5691,,,,,,,50.0,
67,Star Wars: Imperial Assault,2014,164153,7.67634,3.306,68,243,42006,809,7187,,,23.0,,,,,
68,The Gallerist,2015,125153,7.67575,4.2508,69,287,19609,1209,6378,,,,,,,47.0,
69,The Crew: The Quest for Planet Nine,2019,284083,7.66847,1.9562,70,3096,78045,307,5413,,,,8.0,,,,
70,Mechs vs. Minions,2016,209010,7.66481,2.443,71,228,24053,1063,7968,,,22.0,,,,57.0,
71,Android: Netrunner,2012,124742,7.65887,3.4057,72,566,45640,604,5411,,4.0,,,,,,
72,Kingdom Death: Monster,2015,55690,7.65558,4.2621,73,378,12801,718,6898,,,17.0,,,,,
73,Azul,2017,230802,7.64309,1.7632,74,7812,141989,997,13825,2.0,,,9.0,,,,
74,Agricola (Revised Edition),2016,200680,7.63955,3.4539,75,762,24191,430,3410,,,,,,,59.0,
75,Race for the Galaxy,2007,28143,7.63107,2.9914,76,2707,68400,1089,10686,,,,,,,67.0,
76,Five Tribes: The Djinns of Naqala,2014,157354,7.62495,2.8465,77,700,53989,1285,11057,,,,,,,71.0,
77,Eclipse: New Dawn for the Galaxy,2011,72125,7.6222,3.7038,78,51,27853,839,6896,,,,,,,66.0,
78,Clank!: A Deck-Building Adventure,2016,201808,7.62001,2.2254,79,953,54684,1123,11236,,,,11.0,,,77.0,
79,Aeon's End,2016,191189,7.6176,2.8089,81,959,29310,646,7576,,,,,,,65.0,
80,Oathsworn: Into the Deepwood,2022,251661,7.61795,3.6313,80,1155,9333,493,4361,,,9.0,,,,,
81,Fields of Arle,2014,159675,7.60633,3.8494,82,237,16270,1125,5959,,,,,,,55.0,
82,Beyond the Sun,2020,317985,7.60266,3.1253,83,839,16491,867,6332,,,,,,,60.0,
83,Teotihuacan: City of Gods,2018,229853,7.60039,3.7794,84,527,26038,660,5540,,,,,,,62.0,
84,Through the Ages: A Story of Civilization,2006,25613,7.59865,4.177,85,67,18124,560,4243,,,,,,,61.0,
85,Lords of Waterdeep,2012,110327,7.594,2.4532,86,665,69018,1202,10598,,,,,,,86.0,
86,Dominant Species,2010,62219,7.58318,4.0409,87,144,23176,1099,7195,,,,,,,69.0,
87,Hegemony: Lead Your Class to Victory,2023,321608,7.58203,4.186,88,816,9948,566,4584,,,,,,,46.0,
88,The Voyages of Marco Polo,2015,171623,7.58112,3.1823,89,371,26563,864,4831,,,,,,,75.0,
89,Robinson Crusoe: Adventures on the Cursed Island,2012,121921,7.57881,3.8145,90,938,68421,1274,12778,,,29.0,,,,,
90,7 Wonders,2010,68448,7.57765,2.3167,91,2258,140633,972,13657,,,,13.0,,,96.0,
91,El Grande,1995,93,7.56989,2.9982,92,750,28369,1404,6724,,,,,,,78.0,
92,The Search for Planet X,2020,279537,7.56912,2.3948,93,737,20817,586,5663,,,,,,,63.0,
93,Tainted Grail: The Fall of Avalon,2019,264220,7.54985,3.3541,94,714,24259,523,6117,,,26.0,,,,,
94,Battlestar Galactica: The Board Game,2008,37111,7.54204,3.2515,95,199,39076,855,6623,,,32.0,,,,,
95,Architects of the West Kingdom,2018,236457,7.54186,2.7508,96,996,39196,801,7179,,,,,,,90.0,
96,Decrypto,2018,225694,7.54117,1.8031,97,722,35470,494,6052,,,,,,2.0,,
97,Inis,2016,155821,7.5389,2.8981,98,465,25811,1314,8618,,,,,,,88.0,
98,Trickerion: Legends of Illusion,2015,163068,7.53301,4.2507,99,194,15401,621,4082,,,,,,,73.0,
99,Concordia Venus,2018,256916,7.52936,3.012,100,215,9844,468,2528,,,,,,,58.0,
100,YINSH,2003,7854,7.28208,2.6507,229,133,11764,602,3522,3.0,,,,,,,
101,Patchwork,2014,163412,7.49198,1.605,116,3311,103068,759,8835,4.0,,,18.0,,,,
102,Azul: Summer Pavilion,2019,287954,7.34799,2.0625,188,491,25930,473,3403,5.0,,,28.0,,,,
103,War Chest,2018,249259,7.38455,2.3,173,881,14429,482,3718,6.0,,,,,,,
104,TZAAR,2007,31999,6.90002,2.5092,573,75,5859,331,1653,7.0,,,,,,,
105,Calico,2020,283155,7.28461,2.1765,226,1292,32296,426,5375,8.0,,,41.0,,,,
106,Mandala,2019,264241,6.98072,1.7823,474,604,9969,338,2197,9.0,,,85.0,,,,
107,Sagrada,2017,199561,7.33537,1.9201,196,2158,66267,825,8393,10.0,,,39.0,,,,
108,DVONN,2001,2346,6.87353,2.6624,610,89,7101,295,1390,11.0,,,,,,,
109,Project L,2020,260180,7.07898,1.5615,389,1181,15994,386,2418,12.0,,,67.0,,,,
110,Go,-2200,188,7.313,3.933,208,170,24209,153,2084,13.0,,,,,,,
111,Santorini,2016,194655,7.22949,1.7273,265,1296,60689,663,8563,14.0,,,,,,,
112,Azul: Queen's Garden,2021,346965,6.81852,2.9401,671,508,9942,189,1769,15.0,,,,,,,
113,Azul: Stained Glass of Sintra,2018,256226,7.02472,2.0037,428,293,21617,371,2919,16.0,,,96.0,,,,
