,Name,Year,ID,Rating,Complexity,Overall Rank,Plays Last Month,Owns,Wants,Wishlists,Abstract Rank,Customizable Rank,Thematic Rank,Family Rank,Children Rank,Party Rank,Strategy Rank,War Rank
260,Vampire: The Eternal Struggle,1994,2122,6.35944,3.4054,1522,56,3176,88,251,,66.0,,,,,,
261,Pixel Tactics Deluxe,2015,169274,5.87619,2.5833,3674,0,2243,40,227,,67.0,,,,,,
262,Pixel Tactics 2,2013,137423,6.03743,2.65,2669,3,3818,27,198,,68.0,,,,,,
263,Guild Ball,2015,155451,5.91722,3.7143,3378,12,825,25,176,,69.0,,,,,,
264,Dice Masters,2014,295574,5.72485,3,5249,33,379,6,49,,70.0,,,,,,
265,Dreamblade,2006,22897,6.00799,2.6993,2819,3,1274,56,125,,71.0,,,,,,
266,Warhammer: Diskwars,2013,146418,6.20704,2.7717,1983,3,4411,64,323,,72.0,,,,,,
267,A Game of Thrones: The Card Game,2008,39953,6.43722,3.2545,1346,4,10833,72,467,,73.0,,,,,,
268,Warhammer Age of Sigmar: Champions Trading Card Game,2018,255653,5.75892,2.6667,4770,7,677,5,51,,74.0,,,,,,
269,Monsterpocalypse,2008,32674,5.99577,3.0517,2884,0,1714,99,281,,75.0,,,,,,
270,Funkoverse Strategy Game,2019,284775,6.03381,2.1579,2687,29,1678,16,289,,76.0,,,,,,
271,Ascension: 10 Year Anniversary Edition,2022,325810,6.04453,1.8,2637,109,1435,35,244,,77.0,,,,,,
272,Call of Cthulhu: The Card Game,2008,40270,6.28272,2.8945,1729,5,5438,105,550,,78.0,,,,,,
273,SolForge Fusion,2022,344341,5.75374,2.3333,4846,49,815,27,178,,79.0,,,,,,
274,Enchanters: Overlords,2018,252688,5.88931,2,3567,2,1700,10,104,,80.0,,,,,,
275,Sakura Arms,2016,204493,5.94878,3.125,3157,19,1208,46,368,,81.0,,,,,,
276,Ortus Regni,2014,159469,5.94607,3.2059,3180,16,1089,113,496,,82.0,,,,,,
277,Imperium: The Contention,2021,266448,5.87219,2.75,3702,32,614,230,790,,83.0,,,,,,
278,Navia Dratp,2004,10819,5.83785,2.8929,3975,0,1036,70,192,,84.0,,,,,,
279,The Lord of the Rings Trading Card Game,2001,2603,6.08272,2.9478,2481,17,2503,52,86,,85.0,,,,,,
280,Star Wars Miniatures,2004,11229,6.04724,2.3143,2624,7,2824,57,100,,86.0,,,,,,
281,Blue Moon,2004,9446,6.35736,2.1711,1528,9,7649,156,866,,87.0,,,,,,
282,Krosmaster: Arena,2012,112138,6.22378,2.6778,1918,10,7707,98,645,,88.0,,,,,,
283,Funkoverse Strategy Game: Harry Potter 100,2019,292032,5.87702,2.2222,3666,11,4696,20,109,,89.0,,,,,,
284,Vs System 2PCG: The Marvel Battles,2015,178892,5.79952,2.3929,4330,3,1638,20,110,,90.0,,,,,,
285,Call of Cthulhu: Collectible Card Game,2004,8817,5.80408,2.5484,4296,0,1027,34,94,,91.0,,,,,,
286,Vs System,2004,13293,5.84569,2.6027,3906,0,1318,29,48,,92.0,,,,,,
287,A Game of Thrones Collectible Card Game,2002,4286,5.7843,2.8955,4500,0,810,20,53,,93.0,,,,,,
288,Shadowfist,1995,3475,5.75848,2.6222,4780,1,654,34,65,,94.0,,,,,,
289,Wings of War: Fire from the Sky,2009,36482,5.72462,2.0294,5251,0,1117,20,79,,95.0,,,,,,
290,Star Wars Customizable Card Game,1995,1270,6.11139,3.1689,2362,74,4139,73,87,,96.0,,,,,,
291,Legend of the Burning Sands,1998,3836,5.6131,2.6667,7797,0,313,27,52,,97.0,,,,,,
292,Giga-Robo!,2020,177014,5.65794,3.6667,6487,2,384,35,184,,98.0,,,,,,
293,7th Sea Collectible Card Game,1998,3125,5.73339,2.4828,5129,2,865,36,74,,99.0,,,,,,
294,Wizards of the Grimoire,2022,340541,5.82921,2.0625,4060,84,696,67,439,,100.0,,,,,,
295,Too Many Bones: Undertow,2018,235802,7.36619,4.0081,180,108,8954,348,1236,,,18.0,,,,84.0,
296,Final Girl,2021,277659,7.45043,2.6489,134,1101,15771,344,3165,,,24.0,,,,,
297,Nemesis: Lockdown,2022,310100,7.41967,3.898,149,274,14330,257,2347,,,25.0,,,,,
298,ISS Vanguard,2023,325494,7.23333,3.6456,260,2591,10216,344,4066,,,27.0,,,,,
299,The Lord of the Rings: Journeys in Middle-Earth,2019,269385,7.50911,2.6574,112,810,28493,667,7428,,,28.0,,,,,
300,Aeon's End: Legacy,2019,241451,7.27591,2.8293,233,224,10105,254,2372,,,30.0,,,,,
301,The 7th Continent,2017,180263,7.52025,2.9042,104,343,37507,1049,11099,,,31.0,,,,,
302,Twilight Imperium: Third Edition,2005,12493,7.4985,4.258,114,10,20768,617,4379,,,33.0,,,,,
303,Return to Dark Tower,2022,256680,7.21273,2.6505,281,265,7695,422,3230,,,34.0,,,,,
304,Xia: Legends of a Drift System,2014,82222,7.38184,3.1826,174,193,14952,1093,5121,,,35.0,,,,,
305,Eldritch Horror,2013,146021,7.51537,3.3194,107,377,54514,708,8804,,,36.0,,,,,
306,Legendary Encounters: An Alien Deck Building Game,2014,146652,7.39963,2.6971,162,157,18331,652,4337,,,37.0,,,,,
307,War of the Ring,2004,9609,7.3629,3.847,182,22,13751,409,2215,,,38.0,,,,,20.0
308,Welcome to the Moon,2021,339789,7.33971,2.5,192,1058,15099,366,3187,,,39.0,20.0,,,,
309,Sky Team,2023,373106,7.26858,2.0619,238,6752,9649,568,5464,,,40.0,23.0,,,,
310,Middara: Unintentional Malum – Act 1,2019,169427,6.96987,4.1111,490,230,5825,290,2529,,,41.0,,,,,
311,John Company: Second Edition,2022,332686,7.14774,4.4355,319,306,7079,367,2427,,,42.0,,,,,
312,Sherlock Holmes Consulting Detective: The Thames Murders &amp; Other Cases,1982,2511,7.40982,2.6677,156,161,41082,773,7711,,,43.0,,,,,
313,Chaos in the Old World,2009,43111,7.36683,3.1991,179,64,15975,849,4179,,,44.0,,,,,
314,This War of Mine: The Board Game,2017,188920,7.35518,3.3136,184,190,24364,580,6090,,,45.0,,,,,
315,Dune,2019,283355,7.3455,3.9892,189,348,18676,398,4717,,,46.0,,,,,
316,Star Wars: Outer Rim,2019,271896,7.33146,2.5449,200,412,22666,599,4169,,,47.0,,,,,
317,Forgotten Waters,2020,302723,7.1903,2.0965,289,131,13565,445,4413,,,48.0,,,,,
318,Near and Far,2017,195421,7.28723,2.8905,223,136,21381,736,6214,,,49.0,,,,,
319,Cthulhu Wars,2015,139976,7.16896,3.1454,305,122,7650,584,3136,,,50.0,,,,,
320,Nemo's War (Second Edition),2017,187617,7.14119,3.2731,322,43,12472,457,3193,,,51.0,,,,,
321,Horrified,2019,282524,7.34145,2.0368,191,495,31547,458,5435,,,52.0,35.0,,,,
322,Paleo,2020,300531,7.30788,2.6286,212,775,22039,596,5930,,,53.0,,,,,
323,Descent: Journeys in the Dark (Second Edition),2012,104162,7.35206,3.2142,185,102,39814,652,6486,,,54.0,,,,,
324,Frostpunk: The Board Game,2022,311988,6.98781,4.3404,471,244,8285,222,2625,,,55.0,,,,,
325,Dawn of the Zeds (Third Edition),2016,175095,6.95287,3.8141,505,105,6471,338,2057,,,56.0,,,,,
326,The King's Dilemma,2019,245655,7.13998,2.2468,325,343,11614,509,5413,,,57.0,,,,,
327,Aeon Trespass: Odyssey,2022,242705,6.84863,4.738,636,239,4346,188,1855,,,58.0,,,,,
328,Detective: A Modern Crime Board Game,2018,223321,7.23166,2.7466,263,80,22367,333,3951,,,59.0,,,,,
329,Western Legends,2018,232405,7.21767,2.8459,279,225,17264,688,5003,,,60.0,,,,,
330,Captain Sonar,2016,171131,7.31362,2.1896,207,303,29773,596,6897,,,61.0,,,10.0,,
331,Arcadia Quest,2014,155068,7.18262,2.5343,292,73,16459,497,3979,,,62.0,,,,,
332,Star Wars: Armada,2015,163745,7.07922,3.16,388,59,10883,286,1727,,,63.0,,,,,52.0
333,Zombicide: Black Plague,2015,176189,7.24657,2.4853,251,158,27402,492,4446,,,64.0,,,,,
334,Cosmic Encounter,2008,39463,7.34223,2.5851,190,232,40591,1118,9095,,,65.0,,,,,
335,Dead of Winter: A Crossroads Game,2014,150376,7.30999,3.0108,211,220,64362,767,9528,,,66.0,,,,,
336,Sword &amp; Sorcery,2017,170771,7.00858,4.1128,444,85,10355,386,3815,,,67.0,,,,,
337,Runewars,2010,59294,7.12379,3.7855,340,20,10874,408,2666,,,68.0,,,,,
338,Destinies,2021,285192,7.12553,1.9079,338,316,15285,250,3090,,,69.0,,,,,
339,Arkham Horror (Third Edition),2018,257499,7.13412,3.3488,329,269,17603,214,3068,,,70.0,,,,,
340,Legendary: A Marvel Deck Building Game,2012,129437,7.25461,2.4352,245,793,34724,481,4098,,,71.0,,,,,
341,Chronicles of Crime,2018,239188,7.21853,2.0618,276,240,36836,429,4629,,,72.0,,,,,
342,Descent: Legends of the Dark,2021,322708,6.9939,2.7194,465,491,9686,171,2320,,,73.0,,,,,
343,Blood Bowl: Living Rulebook,2004,15985,6.93146,3.1729,539,0,3082,40,351,,,74.0,,,,,
344,Shadows of Brimstone: City of the Ancients,2014,146791,6.93748,3.366,532,46,7492,370,2772,,,75.0,,,,,
345,Exit: The Game – The Abandoned Cabin,2016,203420,7.11676,2.5581,349,35,16122,122,1248,,,76.0,,,,,
346,Massive Darkness 2: Hellscape,2022,315610,6.85249,2.7353,634,317,7273,299,2065,,,77.0,,,,,
347,T.I.M.E Stories,2015,146508,7.19732,2.5925,285,185,41098,631,6861,,,78.0,,,,,
348,Project: ELITE,2020,256999,6.82471,2.3725,666,110,4734,364,2122,,,79.0,,,,,
349,Dead of Winter: The Long Night,2016,193037,7.11105,3.3472,353,38,21537,320,2926,,,80.0,,,,,
350,Dungeon Petz,2011,97207,7.15544,3.6218,312,75,19413,692,4287,,,81.0,,,,,
351,Galaxy Trucker,2007,31481,7.21843,2.3306,278,221,37948,1004,6488,,,82.0,,,,,
352,Oath: Chronicles of Empire &amp; Exile,2021,291572,7.16605,4.1027,307,223,15944,506,6307,,,83.0,,,,,
353,Millennium Blades,2016,151347,6.99005,3.6541,469,48,7660,378,2034,,,84.0,,,,,
354,Fury of Dracula (Third/Fourth Edition),2015,181279,7.14093,3.2809,323,76,24956,640,5316,,,85.0,,,,,
355,Exit: The Game – Dead Man on the Orient Express,2017,226522,6.94043,2.7375,524,16,9762,73,638,,,86.0,95.0,,,,
356,Sherlock Holmes Consulting Detective: Jack the Ripper &amp; West End Adventures,2016,204305,7.01006,2.1765,442,67,16566,372,3147,,,87.0,,,,,
357,The Witcher: Old World,2023,331106,7.04533,2.8489,411,516,11246,201,2905,,,88.0,,,,,
358,Space Hulk (Third Edition),2009,54625,7.0059,2.7862,447,10,10124,369,1568,,,89.0,,,,,
359,Unsettled,2021,290484,6.79296,3.25,702,555,7636,512,3118,,,90.0,,,,,
360,Undaunted: North Africa,2020,290359,6.93954,2.2676,526,143,11555,284,1816,,,91.0,,,,,42.0
361,Space Alert,2008,38453,7.14951,2.9692,317,100,23045,716,5397,,,92.0,,,,,
362,The Battle of Five Armies,2014,135219,6.83728,3.5844,647,29,6861,390,1963,,,93.0,,,,,37.0
363,Burgle Bros.,2015,172081,7.11422,2.301,350,325,17773,837,5742,,,94.0,65.0,,,,
364,My Father's Work,2022,328866,6.81938,3.1089,669,100,6370,337,2448,,,95.0,,,,,
365,Freedom: The Underground Railroad,2013,119506,6.91896,2.902,556,21,6942,667,2734,,,96.0,,,,,
366,Detective: City of Angels,2019,218074,6.81945,2.3387,668,210,6855,442,3304,,,97.0,,,,,
367,Merchants &amp; Marauders,2010,25292,7.10317,3.2444,364,49,19786,896,5606,,,98.0,,,,,
368,Dune,1979,121,6.99379,3.4441,467,14,6752,546,2314,,,99.0,,,,,
369,Etherfields,2020,280794,6.89254,3.5056,586,392,10985,210,2867,,,100.0,,,,,
370,Wingspan Asia,2022,366161,7.46631,2.6286,127,631,21328,346,2897,,,,10.0,,,81.0,
371,Clank!: Catacombs,2022,365717,7.44198,2.5234,139,1069,10147,557,3589,,,,12.0,,,82.0,
372,Splendor Duel,2022,364073,7.46147,1.9652,129,4383,20021,348,3110,,,,14.0,,,100.0,
373,SCOUT,2019,291453,7.484,1.35,119,3717,25230,518,4149,,,,15.0,,,,
374,Clank! In! Space!: A Deck-Building Adventure,2017,233371,7.46198,2.568,128,290,20859,601,3582,,,,16.0,,,,
375,The Quest for El Dorado,2017,217372,7.48092,1.9232,121,1224,39564,1022,7340,,,,17.0,,,,
376,The Isle of Cats,2019,281259,7.45177,2.3571,132,1059,36635,643,6874,,,,19.0,,,,
377,PARKS,2019,266524,7.44336,2.1302,138,1075,43711,848,9376,,,,21.0,,,,
378,Cartographers,2019,263918,7.43606,1.8804,141,1795,49871,459,5585,,,,22.0,,,,
379,That's Pretty Clever!,2018,244522,7.38605,1.8741,171,2136,38714,349,2998,,,,24.0,,,,
380,Istanbul,2014,148949,7.39066,2.582,167,435,36213,891,5900,,,,25.0,,,,
381,Meadow,2021,314491,7.32597,2.2492,202,856,18988,538,4464,,,,26.0,,,,
382,Stone Age,2008,34635,7.40456,2.4597,159,722,56967,1518,10491,,,,27.0,,,,
383,Pandemic,2008,30549,7.43314,2.4008,142,1277,200675,615,10410,,,,29.0,,,,
384,Welcome To...,2018,233867,7.38521,1.8348,172,2675,48079,443,5244,,,,30.0,,,,
385,Ticket to Ride: Europe,2005,14996,7.40568,1.918,158,2122,116207,713,6628,,,,31.0,,,,
386,Ticket to Ride Legacy: Legends of the West,2023,390092,7.1118,2.5306,351,2988,6504,274,2963,,,,32.0,,,,
387,Ticket to Ride: Nordic Countries,2007,31627,7.32346,1.975,203,178,22115,675,3260,,,,33.0,,,,
388,Jaipur,2009,54043,7.37364,1.4644,177,1635,80234,901,7692,,,,34.0,,,,
389,My City,2020,295486,7.28024,1.9865,230,1804,20308,406,4557,,,,36.0,,,,
390,Space Base,2018,242302,7.31714,2.1143,206,3453,25810,728,5157,,,,37.0,,,,
391,7 Wonders (Second Edition),2020,316377,7.25901,2.2976,243,696,12340,108,1574,,,,38.0,,,,
392,KLASK,2014,165722,7.25154,1.057,248,620,14348,275,2250,,,,40.0,,7.0,,
393,The Taverns of Tiefenthal,2019,269207,7.26884,2.6754,237,761,23803,483,4327,,,,42.0,,,,
394,Century: Golem Edition,2017,232832,7.25286,1.6872,246,493,18492,479,3706,,,,43.0,,,,
395,Dice Throne: Season Two – Battle Chest,2018,244271,7.17388,2.1351,300,115,9132,230,1330,,,,44.0,,,,
396,MicroMacro: Crime City,2020,318977,7.24927,1.1111,249,620,30315,401,3846,,,,45.0,,,,
397,Codenames: Duet,2017,224037,7.26507,1.3649,241,1046,46504,243,3163,,,,46.0,,6.0,,
398,Fantasy Realms,2017,223040,7.24848,1.8099,250,1793,23553,312,2971,,,,47.0,,,,
399,Camel Up (Second Edition),2018,260605,7.23455,1.496,258,742,20718,424,3854,,,,48.0,,9.0,,
400,Hanamikoji,2013,158600,7.25195,1.6759,247,890,29557,467,4164,,,,49.0,,,,
401,Splendor,2014,148228,7.30109,1.7816,215,3363,117165,805,9843,,,,50.0,,,,
402,Carcassonne,2000,822,7.29727,1.8947,216,3881,192493,670,9040,,,,51.0,,,,
403,Flamme Rouge,2016,199478,7.23971,1.6851,255,400,23034,752,4110,,,,52.0,,,,
404,Ticket to Ride,2004,9209,7.27569,1.8295,234,2623,128735,696,7652,,,,53.0,,,,
405,Long Shot: The Dice Game,2022,295374,7.15456,1.9122,314,1198,13533,403,3204,,,,54.0,,,,
406,Isle of Skye: From Chieftain to King,2015,176494,7.23365,2.2551,259,402,33314,665,4378,,,,55.0,,,,
407,Sushi Go Party!,2016,192291,7.24327,1.3021,253,1107,62588,466,5646,,,,56.0,,,,
408,Marvel United,2020,298047,7.18006,1.816,295,1122,23157,186,1823,,,,57.0,,,,
409,Cryptid,2018,246784,7.18185,2.2455,294,631,19489,518,4391,,,,58.0,,,,
410,Cat in the Box: Deluxe Edition,2022,345972,7.11156,1.9829,352,1313,15155,326,3117,,,,59.0,,,,
411,Skull King,2013,150145,7.1352,1.7061,326,1258,20849,212,1945,,,,60.0,,,,
412,Awkward Guests: The Walton Case,2016,188866,7.12166,2.3029,345,297,14204,451,3025,,,,61.0,,,,
413,Kingdomino,2016,204583,7.19445,1.2213,287,2647,79249,362,4563,,,,62.0,,,,
414,Marvel United: X-Men,2021,336382,7.03185,1.9882,421,269,10383,115,587,,,,63.0,,,,
415,Bunny Kingdom,2017,184921,7.12284,2.304,344,821,18174,593,4215,,,,64.0,,,,
416,Love Letter,2019,277085,7.10257,1.1281,366,742,19189,60,1116,,,,66.0,,18.0,,
417,Mindbug: First Contact,2022,345584,7.04324,1.9714,414,1603,12052,214,1960,,,,68.0,,,,
418,Cartographers Heroes,2021,315767,6.98559,2.013,473,424,12217,131,1037,,,,69.0,,,,
419,For Sale,1997,172,7.12903,1.2522,333,1121,37867,918,5508,,,,70.0,,,,
420,Gizmos,2018,246192,7.08934,2.0216,379,1127,16130,516,3444,,,,71.0,,,,
421,The Guild of Merchant Explorers,2022,350933,6.98659,2.0349,472,641,7015,533,2985,,,,72.0,,,,
422,Century: Spice Road,2017,209685,7.1274,1.799,336,794,32022,491,4450,,,,73.0,,,,
423,Twice as Clever!,2019,269210,7.05563,2.2784,403,548,16105,159,1074,,,,74.0,,,,
424,Survive: Escape from Atlantis!,1982,2653,7.13092,1.6957,331,418,38475,652,4663,,,,75.0,,,,
425,Lost Cities,1999,50,7.13251,1.4781,330,1907,66665,560,5852,,,,76.0,,,,
426,Bärenpark,2017,219513,7.09745,1.6604,368,771,25212,667,4209,,,,77.0,,,,
427,Arboretum,2015,140934,7.10533,2.1269,362,483,36957,580,5552,,,,78.0,,,,
428,King of Tokyo: Dark Edition,2020,293141,7.00943,1.6047,443,256,11151,129,1017,,,,79.0,,,,
429,Flamecraft,2022,336986,7.09539,2.1889,373,1199,27390,459,5252,,,,80.0,,,,
430,Honey Buzz,2020,284742,7,2.7246,456,459,12755,533,3944,,,,81.0,,,,
431,Schotten Totten,1999,372,7.0507,1.6981,409,613,19615,285,2144,,,,82.0,,,,
432,Ticket to Ride: Märklin,2006,21348,7.03249,2.2436,420,24,11789,459,1706,,,,83.0,,,,
433,Love Letter,2012,129622,7.12743,1.1849,335,1488,110133,281,4310,,,,84.0,,,,
434,Caper: Europe,2022,328565,6.94258,2.1059,517,344,7810,364,2798,,,,86.0,,,,
435,Cubitos,2021,298069,7.01256,2.1818,439,492,14148,450,3445,,,,87.0,,,,
436,MicroMacro: Crime City – Full House,2021,338834,6.9318,1.2055,538,377,12596,153,879,,,,88.0,,,,
437,Downforce,2017,215311,7.04197,1.7218,416,562,18680,378,2922,,,,89.0,,,,
438,Harry Potter: Hogwarts Battle,2016,199042,7.08762,2.076,380,878,38843,301,3606,,,,90.0,,,,
439,Small World,2009,40692,7.10856,2.3492,357,376,96605,894,10080,,,,91.0,,,,
440,Akropolis,2022,357563,6.97887,1.7898,475,2126,9165,298,2326,,,,92.0,,,,
441,Sea Salt &amp; Paper,2022,367220,7.00124,1.4138,453,7037,15491,265,2296,,,,93.0,,,,
442,Takenoko,2011,70919,7.08449,1.9756,381,978,69923,786,7973,,,,94.0,,,,
443,Zombie Kidz Evolution,2018,256952,6.95404,1.3788,502,644,10627,118,1240,,,,97.0,1.0,,,
444,Mysterium,2015,181304,7.08359,1.9006,382,525,71379,598,8314,,,,98.0,,,,
445,Sprawlopolis,2018,251658,7.00465,1.8308,449,1003,23379,358,2972,,,,99.0,,,,
446,Dorfromantik: The Board Game,2022,370591,6.9291,1.6544,541,3014,10533,337,2922,,,,100.0,,,,
447,Unlock! Kids: Detective Stories,2021,327056,6.1388,1.5833,2243,134,2161,92,492,,,,,2.0,,,
448,CoraQuest,2022,318546,6.2687,2.0263,1773,117,3062,101,896,,,,,3.0,,,
449,Chronicles of Avel,2021,347137,6.44559,1.9412,1324,208,4869,112,1370,,,,,4.0,,,
450,Ghost Fightin' Treasure Hunters,2013,146312,6.54699,1.6299,1113,100,8368,179,1458,,,,,5.0,,,
451,Andor: The Family Fantasy Game,2020,295488,6.1631,1.9167,2137,111,3123,92,749,,,,,6.0,,,
452,Outfoxed!,2014,172931,6.57667,1.1111,1045,381,9289,133,1053,,,,,7.0,,,
453,Karak,2017,241477,6.37941,1.3248,1483,387,6352,83,1018,,,,,8.0,,,
454,ICECOOL2,2018,244513,6.27063,1.0714,1766,29,4347,161,739,,,,,9.0,,,
455,Quacks &amp; Co.: Quedlinburg Dash,2022,354886,5.99439,1.2,2890,160,1996,73,506,,,,,10.0,,,
456,Kids Chronicles: Quest for the Moon Stones,2021,340288,5.91566,1.0714,3387,108,1721,33,348,,,,,11.0,,,
457,Coconuts,2013,145639,6.52013,1.039,1166,90,6828,174,808,,,,,12.0,,,
458,Yummy Yummy Monster Tummy,2021,344254,5.88528,1.125,3596,144,1386,37,235,,,,,13.0,,,
459,Concept Kids: Animals,2018,247314,6.00135,1.2,2857,66,2471,45,334,,,,,14.0,,,
460,Pyramid of Pengqueen,2008,36648,6.19981,1.3717,2006,18,3090,235,945,,,,,15.0,,,
461,Dragomino,2020,300010,6.26556,1.087,1785,379,5023,75,653,,,,,16.0,,,
462,Rhino Hero,2011,91514,6.66057,1.0222,918,266,19565,165,1324,,,,,17.0,,,
463,The Magic Labyrinth,2009,41916,6.439,1.2184,1343,144,11371,129,1120,,,,,18.0,,,
464,Ticket to Ride: First Journey (Europe),2017,218208,6.17206,1.551,2108,133,4592,52,411,,,,,19.0,,,
465,Gulo Gulo,2003,6351,6.26127,1.0813,1802,10,2894,283,854,,,,,20.0,,,
466,Burg Appenzell,2007,28089,6.23293,1.5905,1883,36,3467,190,670,,,,,21.0,,,
467,Animal Upon Animal,2005,17329,6.51778,1.0399,1170,210,13466,195,1089,,,,,22.0,,,
468,ICECOOL,2016,177524,6.56455,1.0351,1075,221,18500,242,1793,,,,,23.0,,,
469,Ticket to Ride: First Journey (U.S.),2016,205125,6.20009,1.4186,2003,104,7229,61,415,,,,,24.0,,,
470,Loopin' Louie,1992,327,6.50304,1.0527,1195,197,12131,182,893,,,,,25.0,,,
471,Time's Up! Kids,2015,174219,5.6799,1,6026,11,664,8,51,,,,,26.0,,,
472,Viva Topo!,2002,8195,6.03531,1.0796,2679,34,2351,87,352,,,,,27.0,,,
473,Whoowasit?,2007,33643,5.92926,1.4561,3292,48,2264,54,263,,,,,28.0,,,
474,SOS Dino,2018,244320,5.84495,1.0667,3912,29,1506,38,260,,,,,29.0,,,
475,Schnappt Hubi!,2011,92644,5.75389,1.303,4842,30,1019,31,129,,,,,30.0,,,
476,Animal Upon Animal: Balancing Bridge,2010,84464,5.76675,1.1154,4689,7,640,100,212,,,,,31.0,,,
477,My First Stone Age,2016,191004,6.11953,1.1194,2329,120,5604,113,675,,,,,32.0,,,
478,Ribbit,2004,9441,6.18446,1.0878,2060,147,3605,59,303,,,,,33.0,,,
479,Flashback: Zombie Kidz,2022,364942,5.67503,1.4,6111,43,599,36,258,,,,,34.0,,,
480,Leo,2016,191538,5.94483,1.1613,3192,23,2244,53,290,,,,,35.0,,,
481,The Enchanted Tower,2012,130792,5.93066,1.1429,3283,24,2753,95,489,,,,,36.0,,,
482,Kraken Attack!,2020,293309,5.71217,1.4667,5461,44,824,23,189,,,,,37.0,,,
483,Doodle Quest,2014,152757,5.85039,1.0909,3876,2,1386,38,207,,,,,38.0,,,
484,Nacht der Magier,2005,19996,5.91566,1.115,3388,9,1713,111,365,,,,,39.0,,,
485,Animal Upon Animal: Crest Climbers,2011,111081,5.71601,1.0714,5389,1,600,64,124,,,,,40.0,,,
486,Valley of the Vikings,2019,269526,5.85252,1.3478,3854,41,1913,46,291,,,,,41.0,,,
487,Magic Mountain,2021,341919,5.75798,1,4787,136,1019,43,241,,,,,42.0,,,
488,Chicken Cha Cha Cha,1997,3570,6.12113,1.1195,2321,66,4814,98,470,,,,,43.0,,,
489,Monza,2000,4209,6.09106,1.0513,2445,133,4438,89,407,,,,,44.0,,,
490,My First Carcassonne,2009,41010,6.23989,1.1333,1863,233,8821,130,683,,,,,45.0,,,
491,Coconuts Duo,2014,163929,5.73418,1,5117,2,921,17,66,,,,,46.0,,,
492,The Quest Kids,2021,274075,5.71462,1,5421,36,781,49,360,,,,,47.0,,,
493,Catan: Junior,2011,125921,6.14678,1.5,2207,69,8521,54,383,,,,,48.0,,,
494,Magic Maze Kids,2018,242740,5.7318,1.6471,5146,24,1310,57,332,,,,,49.0,,,
495,Dr. Eureka,2015,181345,6.19671,1.0484,2012,55,7166,64,515,,,,,50.0,,,
496,Snail Sprint!,2018,259345,5.66423,1.2222,6346,27,617,24,100,,,,,51.0,,,
497,Giro Galoppo,2006,21985,5.75381,1.1918,4844,3,741,61,172,,,,,52.0,,,
498,Dragon's Breath,2017,235655,5.97687,1.0667,2988,139,3362,48,304,,,,,53.0,,,
499,Stomp the Plank,2022,367771,5.74495,1,4971,207,891,68,420,,,,,54.0,,,
500,First Orchard,2009,41302,6.0037,1,2841,193,3739,38,265,,,,,55.0,,,
501,Jurassic Snack,2018,241164,5.82198,1.087,4127,42,1788,29,247,,,,,56.0,,,
502,Zooloretto Junior,2010,66120,5.75802,1.4688,4786,1,1055,70,183,,,,,57.0,,,
503,Catan Junior,2014,184842,5.81936,1.28,4153,53,2833,15,149,,,,,58.0,,,
504,Sleeping Queens,2005,17053,6.10996,1.0552,2370,494,11182,49,405,,,,,59.0,,,
505,Spinderella,2015,171129,5.90631,1.1875,3447,41,3141,62,345,,,,,60.0,,,
506,Wizardry to the Power of Three,2016,202296,5.63807,1,6989,14,488,11,71,,,,,61.0,,,
507,Peek-a-Mouse,2020,319754,5.63439,1,7095,12,567,10,121,,,,,62.0,,,
508,Der schwarze Pirat,2006,23890,5.76271,1.1296,4728,3,1106,67,236,,,,,63.0,,,
509,Pharaoh's Gulo Gulo,2015,175088,5.65919,1.1875,6458,15,709,47,170,,,,,64.0,,,
510,Fabulantica,2018,264295,5.6021,1.75,8235,5,307,13,71,,,,,65.0,,,
511,Dschungelschatz,2006,29017,5.63147,1.1765,7181,0,480,21,84,,,,,66.0,,,
512,The Ladybug's Costume Party,2002,4522,5.67308,1.0455,6160,6,754,31,119,,,,,67.0,,,
513,Once Upon a Castle,2018,244333,5.65936,1.8333,6454,14,889,22,182,,,,,68.0,,,
514,Spooky Stairs,2003,12346,5.92095,1.0956,3356,43,3279,89,335,,,,,69.0,,,
515,Dodo,2020,295490,5.68356,1.0667,5964,82,983,34,198,,,,,70.0,,,
516,Schatz der Drachen,2003,7483,5.65135,1.1739,6651,4,501,10,52,,,,,71.0,,,
517,Tales &amp; Games: The Three Little Pigs,2013,135649,5.9302,1.194,3286,7,3652,44,280,,,,,72.0,,,
518,Detective Charlie,2021,304450,5.60546,1.1667,8084,6,425,10,113,,,,,73.0,,,
519,Echidna Shuffle,2018,236272,5.77434,1.2857,4606,19,1085,41,199,,,,,74.0,,,
520,Word on the Street Junior,2010,63778,5.61699,1.125,7657,6,472,13,53,,,,,75.0,,,
521,"Treasure, Ready, Go!",2008,35865,5.58777,1,8967,0,223,32,90,,,,,76.0,,,
522,Pirates on the High Seas,2006,26118,5.58871,1.2667,8909,0,300,37,129,,,,,77.0,,,
523,Richard Scarry's Busytown: Eye found it! Game,2009,64220,5.72809,1.2,5206,6,1299,20,97,,,,,78.0,,,
524,Trötofant,2005,25537,5.58623,1,9047,0,175,81,226,,,,,79.0,,,
525,Mmm!,2015,172507,5.71125,1.25,5471,25,997,39,198,,,,,80.0,,,
526,Kayanak,1999,4493,5.70129,1.2,5629,8,1021,53,149,,,,,81.0,,,
527,Dancing Eggs,2003,8924,5.933,1.0485,3262,2,4053,76,392,,,,,82.0,,,
